model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Apple MacBook Air 13 MGN63HB/A MGN93HB/A MGND3HB/A ,Apple,לא רלוונטי,MacOS,"1.29 ק""ג",8 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LCD,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3460,4573,4016.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1099482,1/2021
  Apple MacBook Air 13 MLXW3HB/A MLXY3HB/A MLY13HB/A MLY33HB/A ,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560x1600,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4750,5439,5094.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1166593,8/2022
  Apple MacBook Pro 13 M2 MNEH3HB/A MNEP3HB/A ,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,4999,5795,5397.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1161874,7/2022
  Apple MacBook Pro 16 MK183HB/A MK1E3HB/A ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,16 אינטש,3456X2234,LCD,לא זמין,ללא,כולל,קורא טביעות אצבע,לא כולל,7450,9889,8669.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1137777,1/2022
  Apple MacBook Air 13 MLXX3HB/A MLY03HB/A MLY23HB/A MLY43HB/A ,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.6 אינטש,2560X1664,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5942,6816,6379.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1166902,8/2022
  Apple MacBook Air 13 Z15S000TA Z15W000RD Z15Y000RC Z160000RC ,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6613,7138,6875.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1167808,9/2022
  Apple MacBook Pro 14 M2 Pro MPHE3HB/A MPHH3HB/A ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,לא זמין,120 Hz,ללא,כולל,לא זמין,לא כולל,8285,8999,8642.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1182991,1/2023
  Apple MacBook Pro 13 M2 MNEJ3HB/A MNEQ3HB/A ,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,5890,6691,6290.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1161800,7/2022
  Apple MacBook Pro 16 M1 Z14V000DY Z14Y000DX ,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7350,10860,9105.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1151724,4/2022
