model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Asus Vivobook 15 X1504ZA-NJ203 ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1985,2599,2292.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192671,2023
  Asus Vivobook 15 X1504ZA-NJ204 ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.5Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,2330,2926,2628.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192672,2022
  Asus TUF Gaming F15 FX507ZC4-HN105 ,Asus,גיימינג,ללא,"2.2 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,לא זמין,ללא,כולל,לא כולל,לא כולל,3671,4490,4080.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1188735,2022
  Asus TUF Gaming F15 FX507ZV4-HQ043 ,Asus,גיימינג,ללא,"2.2 ק""ג",32 GB,3.5Ghz,12700H,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,2560x1440,LCD,לא זמין,ללא,כולל,לא כולל,לא כולל,5495,6490,5992.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1188739,2022
  Asus TUF Dash F15 FX517ZC-HN111 ,Asus,גיימינג,Windows 11 Home,"2.0 ק""ג",16 GB,3.5Ghz,12650H,דור 12,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,לא זמין,LCD,לא זמין,ללא,כולל,לא כולל,לא כולל,3720,5190,4455.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1176395,2022
  Asus TUF Gaming F15 FX507ZC4-HN073W ,Asus,גיימינג,Windows 11 Home,"2.2 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,לא זמין,ללא,כולל,לא כולל,לא כולל,3832,4699,4265.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1188762,2022
  Asus W202NA-GJ0062R ,Asus,לא רלוונטי,ללא,"1.2 ק""ג",4 GB,1.1Ghz,N3350,דור 3,DDR3,64 GB,eMMC,לא כולל,11.6 אינטש,1366x768,LCD,60 Hz,ללא,כולל,לא זמין,לא כולל,809,1250,1029.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1110088,2023
  Asus Vivobook 15 X1504ZA-NJ205 ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.5Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,2480,2849,2664.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192673,2022
  Asus Zenbook 14 OLED UX3402VA-KM063W ,Asus,לא רלוונטי,Windows 11 Home,"1.39 ק""ג",16 GB,3.7Ghz,1360P,דור 13,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,LCD,90 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5727,6634,6180.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1184775,2022
  Asus Vivobook 15 X1504ZA-NJ027 ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,1756,2590,2173.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192666,2022
  Asus VivoBook 14 X1404ZA-NK114 ,Asus,לא רלוונטי,ללא,"1.4 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1699,2009,1854.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1186818,2022
  Asus VivoBook 15 X1504ZA-NJ031 ,Asus,לא רלוונטי,Windows 11 Home,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,1861,2189,2025.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192665,2022
  Asus VivoBook 15 X1504VA-BQ149 ,Asus,לא רלוונטי,Windows 11 Home,"1.7 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,לא רלוונטי,לא כולל,3011,3521,3266.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1191538,2023
  Asus Zenbook 14 OLED UX3402VA-KP147W ,Asus,לא רלוונטי,Windows 11 Home,"1.35 ק""ג",16 GB,3.4Ghz,1340P,דור 13,DDR5,512 GB,SSD,לא כולל,14 אינטש,2560x1600,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4418,5186,4802.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1188142,2022
  Asus TUF Gaming F15 FX507ZC4-HN073 ,Asus,גיימינג,ללא,"2.6 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR5,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,144 Hz,ללא,כולל,לא כולל,לא כולל,3503,4249,3876.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1187677,2022
  Asus Zenbook S13 OLED UX5304VA-NQ003 ,Asus,לא רלוונטי,ללא,"1 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR5,1000 GB,SSD,לא כולל,13.3 אינטש,2880X1800,LED,60 Hz,ללא,כולל,מצלמת IR,לא כולל,5414,6388,5901.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192565,2022
  Asus Zenbook 14X OLED UM5401QA-L7192W ,Asus,לא רלוונטי,Windows 11 Home,"1.4 ק""ג",16 GB,4.2Ghz,5600H,דור 4,DDR4,512 GB,SSD,לא כולל,14 אינטש,2880X1800,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4177,5349,4763.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1162877,2022
  Asus Vivobook 15 X1504ZA-NJ197W ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,2617,2979,2798.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192675,2022
  Asus VivoBook 14 X1404ZA-NK111 ,Asus,לא רלוונטי,ללא,"1.4 ק""ג",16 GB,3.5Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,לא כולל,לא כולל,2498,2900,2699.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1186335,2023
  Asus Zenbook S13 OLED UX5304VA-NQ072 ,Asus,לא רלוונטי,Windows 11 Home,"1 ק""ג",16 GB,3.4Ghz,1335U,דור 13,DDR5,512 GB,SSD,לא כולל,13.3 אינטש,2880X1800,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,4889,5790,5339.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192563,2022
  Asus ZenBook 14 UP5401ZA-KN071W ,Asus,לא רלוונטי,ללא,"1.4 ק""ג",8 GB,3.3Ghz,12500H,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,2880X1800,LCD,60 Hz,כולל,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,4599,5606,5102.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1157118,2022
  Asus VivoBook 15 X1504ZA-NJ206 ,Asus,לא רלוונטי,Windows 11 Home,"1.7 ק""ג",16 GB,3.5Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,לא כולל,לא כולל,2599,3149,2874.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192837,2022
  Asus Vivobook Pro 14 OLED M3401QC-KM022W ,Asus,לא רלוונטי,ללא,"1.4 ק""ג",16 GB,3.2Ghz,5800H,דור 4,DDR4,512 GB,SSD,לא כולל,14 אינטש,2880X1800,IPS,90 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,3789,5513,4651.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1146953,2022
  Asus VivoBook 16X X1603ZA-L2068W ,Asus,לא רלוונטי,Windows 11 Home,"1.8 ק""ג",8 GB,3.3Ghz,12500H,דור 12,DDR4,256 GB,SSD,לא כולל,16 אינטש,3840x2400,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,3557,4672,4114.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1153019,2022
  Asus ZenBook 14 UX3402ZA-KM164W ,Asus,לא רלוונטי,Windows 11 Home,"1.39 ק""ג",8 GB,3.3Ghz,1240P,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,2880X1800,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,3890,4620,4255.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1155948,2023
  Asus VivoBook 15 X1504ZA-NJ210 ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,לא כולל,לא כולל,1505,1990,1747.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1193037,2022
  Asus X1500EA-EJ2658 ,Asus,לא רלוונטי,Windows 11 Home,"1.8 ק""ג",16 GB,2.4Ghz,1135G7,דור 11,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,1980,2679,2329.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1179969,2022
  Asus ZenBook 14 UX3402ZA-KM079W ,Asus,לא רלוונטי,Windows 11 Pro,"1.39 ק""ג",8 GB,3.3Ghz,1240P,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,3941,4620,4280.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1155947,2022
  Asus Vivobook S15 OLED K5504VN-MA139W ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,4.1Ghz,13900H,דור 13,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,2880x1620,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5552,6366,5959.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192566,2022
  Asus Vivobook S 14 Flip OLED TP3402VA-KN058W ,Asus,לא רלוונטי,ללא,"1.5 ק""ג",16 GB,3.7Ghz,13700H,דור 13,לא זמין,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,LCD,60 Hz,כולל,כולל,לא כולל,לא כולל,4758,5990,5374.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1193764,2022
  Asus VivoBook 17 X1704VA-AU054 ,Asus,לא רלוונטי,Windows 11 Pro,"2.10 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR4,1000 GB,SSD,לא כולל,17.3 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3473,4080,3776.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192679,2023
  Asus ZenBook Flip 14 UP5401EA-KN017 ,Asus,לא רלוונטי,ללא,"1.4 ק""ג",16 GB,2.8Ghz,1165G7,דור 11,DDR4,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,4378,5819,5098.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1141895,2022
  Asus Zenbook 14X OLED UX5400ZB-L7047W ,Asus,לא רלוונטי,Windows 11 Pro,"1.4 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5500,6490,5995.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1160045,2022
  Asus VivoBook 17 X1704VA-AU053W ,Asus,לא רלוונטי,ללא,"2.10 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR4,1000 GB,SSD,לא כולל,17.3 אינטש,1920x1080,IPS,לא זמין,ללא,כולל,לא כולל,לא כולל,3991,4799,4395.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192502,2022
  Asus VivoBook 14 X1404ZA-NK113 ,Asus,לא רלוונטי,ללא,"1.4 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,לא כולל,לא כולל,2136,2475,2305.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1186821,2022
  Asus ROG Strix G15 G513RM-HQ294W ,Asus,גיימינג,ללא,"2.3 ק""ג",32 GB,4.7Ghz,6800H,דור 5,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,2560x1440,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,7750,10397,9073.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1157123,2022
  Asus ExpertBook B7 Flip B7402FEA-L90728X ,Asus,לא רלוונטי,Windows 11 Home,"1.44 ק""ג",32 GB,2.9Ghz,1195G7,דור 11,DDR4,1000 GB,SSD,לא כולל,14 אינטש,2560x1600,LCD,60 Hz,כולל,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,7991,10074,9032.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1150390,2023
  Asus ROG Strix G17 G713RW-KH146W ,Asus,גיימינג,Windows 11 Pro,"1.29 ק""ג",16 GB,4.9Ghz,6900HX,דור 5,DDR5,1000 GB,SSD,לא כולל,17.3 אינטש,1920x1080,IPS,לא זמין,ללא,כולל,לא כולל,לא כולל,7799,10890,9344.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1161917,2022
  Asus VivoBook 15 X1504ZA-NJ202 ,Asus,לא רלוונטי,Windows 11 Pro,"1.7 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,לא כולל,לא כולל,1792,2043,1917.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192661,2022
  Asus Vivobook S15 OLED K5504VA-MA216W ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.5Ghz,13500H,דור 13,DDR5,512 GB,SSD,לא כולל,15.6 אינטש,2880x1620,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4152,4721,4436.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192562,2022
  Asus ZenBook 14X UX5401EA-KN144W ,Asus,לא רלוונטי,ללא,"1.4 ק""ג",16 GB,2.8Ghz,1165G7,דור 11,DDR4,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,לא זמין,60 Hz,כולל,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,4285,5726,5005.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1137490,2022
  Asus Vivobook 15 X1504ZA-NJ200W ,Asus,לא רלוונטי,Windows 11 Pro,"1.7 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,לא כולל,לא כולל,2143,2356,2249.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192669,2022
  Asus VivoBook 15 X1504ZA-NJ211 ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,2078,2352,2215.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192668,2023
  Asus Zenbook 14X OLED UM5401QA-L7069W ,Asus,לא רלוונטי,Windows 11 Pro,"1.4 ק""ג",16 GB,3.2Ghz,5800H,דור 4,DDR4,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4995,5623,5309.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1157119,2022
  Asus VivoBook 15 X1504ZA-NJ104W ,Asus,לא רלוונטי,Windows 11 Home,"1.7 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,לא כולל,לא כולל,2198,2558,2378.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192835,2022
  Asus TUF Gaming F15 FX517ZM-HN157 ,Asus,גיימינג,ללא,"2 ק""ג",32 GB,4.7Ghz,12650H,דור 12,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,לא זמין,ללא,כולל,לא כולל,לא כולל,4659,5690,5174.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1188454,2022
  Asus VivoBook 15 X1504ZA-NJ209 ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,לא כולל,לא כולל,1575,2026,1800.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1192834,2022
  Asus VivoBook 15 X1504VA-BQ059W ,Asus,לא רלוונטי,Windows 11 Home,"1.7 ק""ג",8 GB,3.4Ghz,1335U,דור 13,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,לא כולל,לא כולל,2793,3229,3011.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1193044,2022
  Asus VIvoBook Pro 15 OLED K6500ZE-L1032W ,Asus,לא רלוונטי,Windows 11 Home,"1.8 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5700,6731,6215.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1170735,2023
  Asus ROG Strix G17 G713RM-KH176W ,Asus,גיימינג,ללא,"2.9 ק""ג",32 GB,4.7Ghz,6800H,דור 5,DDR5,1000 GB,SSD,לא כולל,17.3 אינטש,1920x1080,IPS,לא זמין,ללא,כולל,לא כולל,לא כולל,7609,9890,8749.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1156306,2022
  Asus ZenBook Pro 15 OLED UM535QE-KY252W ,Asus,לא רלוונטי,ללא,"2 ק""ג",16 GB,3.2Ghz,5800H,דור 4,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,כולל,1 מגה פיקסל,מצלמת IR,לא כולל,5459,6850,6154.5,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1167588,2022
  Asus TUF Gaming F15 FX507VU4-LP004 ,Asus,גיימינג,Windows 11 Home,"2.2 ק""ג",16 GB,3.7Ghz,13700H,דור 13,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,לא זמין,ללא,כולל,לא כולל,לא כולל,5686,6520,6103.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1191517,2022
  Asus TUF Dash F15 FX517ZC-HN111W ,Asus,גיימינג,Windows 11 Home,"2.0 ק""ג",16 GB,3.5Ghz,12650H,דור 12,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,לא זמין,LCD,לא זמין,ללא,כולל,לא כולל,לא כולל,3970,4890,4430.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1176015,2022
  Asus ExpertBook B1 B1500CEAE-BQ2968X ,Asus,לא רלוונטי,Windows 11 Home,"1.73 ק""ג",16 GB,2.4Ghz,1135G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,2575,3899,3237.0,"(2023, 6, 10)",https://www.zap.co.il/model.aspx?modelid=1149024,2022
