model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Dell Vostro 3510 V3510-6002 ,Dell,לא רלוונטי,ללא,"1.69 ק""ג",8 GB,2.4Ghz,1135G7,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1775,2928,2351.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1141078,1/2022
  Dell Vostro 3510 V3510-6005 ,Dell,לא רלוונטי,ללא,"1.69 ק""ג",8 GB,4.2Ghz,1135G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2000,2922,2461.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1140660,1/2022
  Dell Inspiron 15 3511 N3511-5034 ,Dell,לא רלוונטי,ללא,"1.73 ק""ג",16 GB,2.4Ghz,1135G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2306,3563,2934.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1179807,1/2023
  Dell Inspiron G15 Gaming G5520-8423 ,Dell,גיימינג,Windows 11 Home,"2.51 ק""ג",16 GB,3.5Ghz,12700H,דור 12,לא זמין,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,לא זמין,ללא,1 מגה פיקסל,לא כולל,לא כולל,5765,7125,6445.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1154507,5/2022
  Dell Vostro 3510 V3510-6257 ,Dell,לא רלוונטי,Windows 11 Pro,"1.69 ק""ג",16 GB,2.4Ghz,1135G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2950,3637,3293.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1171180,10/2022
  Dell Inspiron N3511-3003 ,Dell,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3Ghz,1115G4,דור 11,לא זמין,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1489,2558,2023.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1178095,12/2022
  Dell Vostro 3510 V3510-6138 ,Dell,לא רלוונטי,Windows 11 Home,"1.69 ק""ג",8 GB,2.4Ghz,1135G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2529,3390,2959.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1140813,1/2022
  Dell Vostro 3510 V3510-3015 ,Dell,לא רלוונטי,ללא,"1.69 ק""ג",8 GB,3Ghz,1115G4,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,לא זמין,לא כולל,לא כולל,1594,2319,1956.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1143597,2/2022
  Dell Vostro 3420 V3420-7004 ,Dell,לא רלוונטי,ללא,"1.49 ק""ג",16 GB,2.8Ghz,1165G7,דור 11,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3090,4326,3708.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1177224,12/2022
  Dell Vostro 3510 V3510-6114 ,Dell,לא רלוונטי,Windows 11 Home,"1.69 ק""ג",לא זמין,4.2Ghz,1135G7,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2151,3135,2643.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1141071,1/2022
