model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  HP 250 G9 6F1Z7EA,HP,לא רלוונטי,ללא,"1.74 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1429,2238,1833.5,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1173511,11/2022
  HP 250 G9 6F1Z9EA,HP,לא רלוונטי,ללא,"1.74 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1739,2153,1946.0,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1173514,11/2022
  HP 250 G9 6S6V0EA,HP,לא רלוונטי,ללא,"1.74 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1889,3023,2456.0,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1173516,11/2022
  HP 15s-fq5031nj 7C472EA,HP,לא רלוונטי,ללא,"1.69 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2201,3291,2746.0,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1181952,1/2023
  HP 250 G9 6S6V5EA,HP,לא רלוונטי,ללא,"1.74 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2828,3674,3251.0,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1178877,12/2022
  HP 14s-dq5013nj 7C455EA,HP,לא רלוונטי,ללא,"1.46 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,,,LCD,60 Hz,,,לא כולל,לא כולל,2884,3390,3137.0,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1178614,12/2022
  HP 250 G9 6S6V4EA,HP,לא רלוונטי,ללא,"1.74 ק""ג",8 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2407,3295,2851.0,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1173517,11/2022
  HP 250 G9 6F217EA,HP,לא רלוונטי,Windows 11 Pro,"1.74 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3162,4449,3805.5,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1178878,12/2022
  HP 14s-dq5015nj 7C424EA,HP,לא רלוונטי,Windows 11 Home,"1.46 ק""ג",8 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3136,3916,3526.0,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1182264,1/2023
  ZBook Studio G9‎ 62U06EA HP,HP,לא רלוונטי,Windows 11 Pro,"1.73 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR5,512 GB,SSD,לא כולל,16 אינטש,1920x1200,IPS,60 Hz,כולל,1 מגה פיקסל,מצלמת IR,לא כולל,7243,9990,8616.5,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1172577,11/2022
  HP ProBook 440 G9 6A2H5EA,HP,לא רלוונטי,ללא,"1.38 ק""ג",8 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3145,3808,3476.5,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1171169,10/2022
  HP 14s-dq5011nj 7C454EA,HP,לא רלוונטי,ללא,"1.46 ק""ג",16 GB,4.4Ghz,1235U,דור 12,DDR4,1000 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,לא זמין,לא כולל,2690,3147,2918.5,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1183108,1/2023
  HP 250 G9 6S6S9EA,HP,לא רלוונטי,Windows 11 Pro,"1.74 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2747,3550,3148.5,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1178876,12/2022
  EliteBook 630 G9‎ 6A2B9EA HP,HP,לא רלוונטי,ללא,"1.28 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,13.3 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,מצלמת IR,לא כולל,2855,3775,3315.0,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1189787,3/2023
  EliteBook 630 G9‎ 6A2H0EA HP,HP,לא רלוונטי,ללא,"1.28 ק""ג",8 GB,3.5Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,13.3 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3167,3738,3452.5,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1190974,4/2023
  HP ProBook 440 G10 725J1EA,HP,לא רלוונטי,ללא,"1.38 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3681,4128,3904.5,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1192304,4/2023
  HP Pavilion X360 7C416EA,HP,לא רלוונטי,Windows 11 Home,"1.51 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,כולל,1 מגה פיקסל,לא כולל,לא כולל,3069,3780,3424.5,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1179944,1/2023
  HP 250 G9 724K5EA,HP,לא רלוונטי,ללא,"1.74 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,2240,2693,2466.5,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1178874,12/2022
  HP EliteBook 630 G9 5Y3S3EA,HP,לא רלוונטי,Windows 10 PRO,"1.27 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,13.3 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3249,3835,3542.0,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1190975,4/2023
  HP EliteBook 860 G9 6T1R1EA,HP,לא רלוונטי,Windows 10 PRO,"1.76 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR5,1000 GB,SSD,לא כולל,16 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,6193,61935,34064.0,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1177637,12/2022
  HP 250 G9 6F2C0EA,HP,לא רלוונטי,Windows 11 Pro,"1.74 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2624,3350,2987.0,"(2023, 6, 11)",https://www.zap.co.il/model.aspx?modelid=1178875,12/2022
