model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Lenovo V14 G3 IAP 82TS0042IV ,Lenovo,לא רלוונטי,ללא,"1.43 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2198,3295,2746.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1169525,2022
  Lenovo V14 G2 ITL 82KA001NIV ,Lenovo,לא רלוונטי,ללא,"1.6 ק""ג",8 GB,4.2Ghz,1135G7,דור 11,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1484,2446,1965.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1138548,2022
  Lenovo IdeaPad 3 15ITL6 82H803D1IV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",8 GB,3Ghz,1115G4,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1329,1749,1539.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1186654,מ 2023
  Lenovo IdeaPad 3 15ITL6 82H8039EIV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",8 GB,2.5Ghz,1155G7,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1599,2074,1836.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1183077,מ 2023
  Lenovo IdeaPad 3 15IAU7 82RK00D6IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2552,3266,2909.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1172321,2022
  Lenovo IdeaPad 3 15IAU7 82RK00CYIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2180,2702,2441.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170518,2022
  Lenovo V14-ADA 82C6006AIV ,Lenovo,לא רלוונטי,ללא,"1.6 ק""ג",4 GB,1.2Ghz,3020e,לא זמין,DDR4,256 GB,SSD,לא כולל,14 אינטש,1366x768,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,785,1499,1142.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1097913,2020
  Lenovo V14 G3 IAP 82TS0024IV ,Lenovo,לא רלוונטי,ללא,"1.43 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1300,1848,1574.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1169524,2022
  Lenovo IdeaPad 3 15IAU7 82RK00DGIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3097,3716,3406.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171584,2022
  Lenovo V14 IGL 82C2006WIV ,Lenovo,לא רלוונטי,ללא,"1.6 ק""ג",8 GB,1.1Ghz,N4020,דור 4,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,825,1349,1087.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1169522,2022
  Lenovo IdeaPad 3 15IAU7 82RK00DDIV ,Lenovo,לא רלוונטי,ללא,"1.63 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2642,3599,3120.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171603,2022
  Lenovo IdeaPad 3 15IAU7 82RK00CQIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1867,2267,2067.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171580,2022
  Lenovo IdeaPad Flex 5 14IAU7 82R7009FIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,3068,4196,3632.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1166580,2022
  Lenovo IdeaPad Flex 5 14IAU7 82R7009PIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,3395,4440,3917.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1166583,2022
  Lenovo ThinkPad E14 Gen 4 21E30082IV ,Lenovo,לא רלוונטי,ללא,"1.64 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,2777,3149,2963.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1165458,2022
  Lenovo IdeaPad 3 15ITL6 82H8039FIV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",8 GB,2.5Ghz,1155G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,כולל,לא זמין,לא כולל,1810,2218,2014.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1183078,מ 2023
  Lenovo IdeaPad 3 15IAU7 82RK00D0IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2309,2641,2475.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170501,2022
  Lenovo IdeaPad 3 15IAU7 82RK00CMIV ,Lenovo,לא רלוונטי,ללא,"1.63 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1473,1990,1731.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171578,2022
  Lenovo ThinkPad E14 Gen 4 21E30088IV ,Lenovo,לא רלוונטי,ללא,"1.64 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,3714,4240,3977.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1161884,2022
  Lenovo IdeaPad Flex 5 14IAU7 82R7009YIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,4134,4990,4562.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1165588,2022
  Lenovo V14 G2 ITL 82KA001JIV ,Lenovo,לא רלוונטי,ללא,"1.6 ק""ג",8 GB,3Ghz,1115G4,דור 11,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1175,1699,1437.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1138546,2022
  Lenovo IdeaPad Flex 5 14IAU7 82R7009RIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,3424,4039,3731.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1166582,2022
  Lenovo ThinkPad E15 Gen 4 21E6006SIV ,Lenovo,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,2757,3086,2921.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1165465,2022
  Lenovo IdeaPad 3 15IAU7 82RK00C9IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2048,2449,2248.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171592,2022
  Lenovo IdeaPad 3 17IAU7 82RL004WIV ,Lenovo,לא רלוונטי,Windows 11 Home,"2.04 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,17.3 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3699,3999,3849.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170512,2022
  Lenovo ThinkPad E15 Gen 4 21E6006UIV ,Lenovo,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,3283,3758,3520.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1169635,2022
  Lenovo IdeaPad 3 17IAU7 82RL004LIV ,Lenovo,לא רלוונטי,Windows 11 Home,"2.04 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,17.3 אינטש,1600x900,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2239,2499,2369.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171582,2022
  Lenovo Yoga Slim 7 Pro 14IAP7 82SV0079IV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.32 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,ללא,כולל,מצלמת IR,לא כולל,5153,7750,6451.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1169064,2022
  Lenovo V14 G3 IAP 82TS003PIV ,Lenovo,לא רלוונטי,ללא,"1.43 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1910,2445,2177.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170366,2022
  Lenovo IdeaPad 3 15IAU7 82RK00D5IV ,Lenovo,לא רלוונטי,ללא,"1.63 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2339,2802,2570.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171595,2022
  Lenovo ThinkPad E14 Gen 4 21E300CAIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.64 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,3765,4139,3952.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1164177,2022
  Lenovo ThinkBook 15 G4 IAP 21DJ0063IV ,Lenovo,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,2664,3018,2841.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1161517,2022
  Lenovo ThinkPad E15 Gen 4 21E60092IV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,3275,3990,3632.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1165459,2022
  Lenovo ThinkBook 15 G4 IAP 21DJ005TIV ,Lenovo,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,2879,3200,3039.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1167308,2022
  Lenovo IdeaPad 3 17IAU7 82RL004VIV ,Lenovo,לא רלוונטי,ללא,"2.04 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,17.3 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3417,3789,3603.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171585,2022
  Lenovo V15 G4 AMN 82YU0044IV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",8 GB,2.4Ghz,7120U,דור 5,DDR5,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1042,1361,1201.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1194008,מ 2023
  Lenovo IdeaPad 3 15IAU7 82RK00CXIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2309,2641,2475.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170500,2022
  Lenovo ThinkPad E14 Gen 4 21E300CCIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.64 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,3440,3929,3684.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1167310,2022
  Lenovo ThinkPad E14 Gen 4 21E300C6IV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.64 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,4566,5059,4812.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1164182,2022
  Lenovo IdeaPad 3 15IAU7 82RK00CVIV ,Lenovo,לא רלוונטי,ללא,"1.63 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1946,2379,2162.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170503,2022
  Lenovo IdeaPad 3 15ITL6 82H8039DIV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",16 GB,2.8Ghz,1165G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,לא זמין,60 Hz,ללא,כולל,לא זמין,לא כולל,2440,2797,2618.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1183082,מ 2023
  Lenovo ThinkPad E14 Gen 4 21E300C9IV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.64 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,3458,3999,3728.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1164176,2022
  Lenovo IdeaPad 3 15ITL6 82H803D2IV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",8 GB,3Ghz,1115G4,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1427,1789,1608.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1189536,מ 2023
  Lenovo ThinkBook 16p G2 ACH 20YM002TIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.99 ק""ג",16 GB,3.2Ghz,5800H,דור 4,DDR4,1000 GB,SSD,לא כולל,16 אינטש,2560x1600,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5070,6226,5648.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1145115,2022
  Lenovo IdeaPad 3 17IAU7 82RL004UIV ,Lenovo,לא רלוונטי,Windows 11 Home,"2.04 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,17.3 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3178,3590,3384.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170510,2022
  Lenovo ThinkBook 14 G4 IAP 21DH006SIV ,Lenovo,לא רלוונטי,ללא,"1.4 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,2779,3390,3084.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171134,2022
  Lenovo ThinkBook 14 G4 IAP 21DH006YIV ,Lenovo,לא רלוונטי,ללא,"1.4 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,2964,3450,3207.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171943,2022
  Lenovo IdeaPad 3 17IAU7 82RL004QIV ,Lenovo,לא רלוונטי,Windows 11 Home,"2.04 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,17.3 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2748,3252,3000.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170505,2022
  Lenovo Yoga Slim 7 ProX 14IAH7 82TK008SIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.45 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR5,1000 GB,SSD,לא כולל,14.5 אינטש,3072x1920,IPS,120 Hz,כולל,כולל,מצלמת IR,לא כולל,6578,7072,6825.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170157,2022
  Lenovo ThinkPad E14 Gen 4 21E300C3IV ,Lenovo,לא רלוונטי,ללא,"1.64 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,1000 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,3642,4059,3850.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171135,2022
  Lenovo IdeaPad 3 17IAU7 82RL004TIV ,Lenovo,לא רלוונטי,ללא,"2.04 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,17.3 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2806,3207,3006.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170509,2022
  Lenovo IdeaPad Flex 5 14IAU7 82R70099IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,2717,3215,2966.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1164190,2022
  Lenovo IdeaPad 3 15IAU7 82RK00DNIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3526,4340,3933.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170511,2022
  Lenovo Yoga 7 14IAL7 82QE008XIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.45 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,2240x1400,IPS,60 Hz,כולל,כולל,מצלמת IR,לא כולל,4450,5739,5094.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1164057,2022
  Lenovo ThinkBook 15 G4 IAP 21DJ005UIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,2987,3550,3268.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1166354,2022
